network_name,site_name,latitude,longitude,antenna_height,frequency_khz,power_eirp,polarisation,bearing,horizontal_beamwidth,vertical_beamwidth,downtilt
South,1,-45.79730959,168.3949935,5,2400,1,V,0,90,30,1
South,2,-45.80644175,168.4036076,10,2300,2,V,0,90,30,1
South,3,-45.83039768,168.4031484,2,5800,1,H,0,,,
Gray Wireless,4,-35.712247,174.336547,10,5725,4,H,0,,,
Gray Wireless,5,-35.658841,174.281534,20,5725,4,H,0,90,30,1
Gray Wireless,6,-34.819217,173.156248,20,5725,4,H,0,90,30,1
Gray Wireless,7,-35.506041,173.543255,20,5725,4,H,0,90,30,1
Gray Wireless,8,-35.216764,174.201653,20,5725,4,H,0,90,30,1
Gray Wireless,9,-36.831747,174.434034,10,2400,1,V,0,90,30,1
Gray Wireless,10,-37.049911,174.56047,10,2400,4,V,0,90,30,1
Gray Wireless,11,-36.540001,175.40128,20,2400,4,V,0,180,20,1
Skynet,12,-41.4575,175.35,20,2400,4,V,0,180,20,2
Skynet,13,-46.74,167.9158333,20,2400,4,V,0,180,20,3
Skynet,14,-37.9925,175.0983333,20,2400,4,V,0,180,20,4
Skynet,15,-37.5341666,175.7416666,20,2400,4,V,0,180,20,1
Skynet,16,-41.35,175.0166667,20,2400,4,V,0,90,30,1
Skynet,17,-45.2666667,168.6833333,20,2400,4,V,0,10,40,1
RuralCom,18,-39.52559,176.82643,20,2400,4,V,0,90,30,1
RuralCom,19,-40.355,175.75,20,2400,4,V,0,270,30,1
Sonar,20,-37.5063,176.6601,20,2400,4,V,0,90,30,1
